date,id,text, bot_non_bot
Wed Apr 25 22:48:04 +0000 2018,989274874593120256,BREAKING: President Trump's personal attorney Michael Cohen tells court he will plead the fifth in the Stormy Danie… https://t.co/0t0IvnfwUd, 1
Wed Apr 25 22:43:21 +0000 2018,989273687508639744,The Supreme Court held arguments over President Trump's proclamation restricting travel from several majority-Musli… https://t.co/z4584la2P9, 1
Wed Apr 25 22:32:12 +0000 2018,989270881011683328,"It just wasn't Bayern Munich's night, but the Champions League magic continues for Real Madrid https://t.co/wSdQKsavs3", 1
Wed Apr 25 22:28:02 +0000 2018,989269832645431296,"Watch former FBI Director James Comey in a live town hall hosted by CNN’s @andersoncooper tonight, 8p ET.… https://t.co/4oqXfItvY1", 1
Wed Apr 25 22:22:35 +0000 2018,989268461443526656,Kanye West remained defiant amid mounting backlash from fans over the rapper's positive words about President Donal… https://t.co/N9vJkm354h, 1
Wed Apr 25 22:19:57 +0000 2018,989267797703315458,"RT @CNNSitRoom: Among the most damaging allegations in a document compiled by Senate Democrats: Trump's Veterans Affairs nominee, Dr. Ronny…", 1
Wed Apr 25 22:19:35 +0000 2018,989267707857195008,YouTube Kids is adding new settings to give parents more control over what videos their kids can see… https://t.co/3scTWEhPby, 1
Wed Apr 25 22:15:12 +0000 2018,989266605006839808,"After the hugs and kisses, Macron rips Trumpism | Analysis by @StCollinson https://t.co/M9qIWLslJS https://t.co/qbeImKSVMb", 1
Wed Apr 25 22:02:39 +0000 2018,989263444477083649,"The friend who once reportedly gave President Donald Trump a Super Bowl ring privately used words like ""divisive"" a… https://t.co/O3mdAFUEEU", 1
Wed Apr 25 21:56:36 +0000 2018,989261923123388416,Snapchat redesigns its app again. Stock plunges. https://t.co/opuCQzUdZG https://t.co/GaFnZPZYOq, 1
Wed Apr 25 21:46:51 +0000 2018,989259469367463937,"Fox News, accompanied by a flurry of right-wing media organizations, took remarks made by CNN's Jim Acosta out of c… https://t.co/Igd560COLX", 1
Wed Apr 25 21:43:57 +0000 2018,989258737482387456,"Rejoice, ""Car Talk"" fans. Tom and Ray Magliozzi -- aka Click and Clack -- will soon be inducted into the Automotive… https://t.co/IcRRwajqLx", 1
Wed Apr 25 21:26:42 +0000 2018,989254395589218310,"RT @TheLeadCNN: Dr. Ronny Jackson denies he wrecked a government car, and says he is staying in the nomination process for head of the Vete…", 1
Wed Apr 25 21:26:26 +0000 2018,989254328459321344,EXCLUSIVE: Some of the spies expelled last month from the US were tracking Russian defectors and their families… https://t.co/tBubGUUrxQ, 1
Wed Apr 25 21:17:04 +0000 2018,989251972447514626,"The document also includes an allegation that ""on at least one occasion,"" Rear Adm. Ronny Jackson ""could not be rea… https://t.co/bPuj56J7wG", 1
Wed Apr 25 21:13:06 +0000 2018,989250976958861313,BREAKING EXCLUSIVE: Some of the spies expelled last month from the US were tracking Russian defectors and their fam… https://t.co/sbxK8qZzgk, 1
Wed Apr 25 21:05:10 +0000 2018,989248977995485184,"Among the most damaging allegations: Jackson was drunk and ""wrecked a government vehicle"" while at a going-away par… https://t.co/J79cEjA9bi", 1
Wed Apr 25 21:01:25 +0000 2018,989248033463431169,.@Accenture CEO @JulieSweet has a message for President Trump: Get companies to re-skill and think about the three… https://t.co/QdrT0eGSYr, 1
Wed Apr 25 21:00:04 +0000 2018,989247695855407104,BREAKING: A document compiled by the Democrats on the Senate Veterans Affairs Committee lists a range of allegation… https://t.co/1R4ggHI5Yo, 1
Wed Apr 25 20:31:40 +0000 2018,989240546056122368,"French President Emmanuel Macron paid a visit to the Martin Luther King Jr. memorial in Washington, DC, accompanied… https://t.co/jfHgVyt8xB", 1
Wed Apr 25 20:10:54 +0000 2018,989235322142838784,"A Mount Dora, Florida, family is facing a $100-a-day fine to keep this colorful mural on their home. There's a swee… https://t.co/n3O4KArvdu", 1
Wed Apr 25 19:36:02 +0000 2018,989226548686442497,"General Electric was blasted by workers, retirees and shareholders bemoaning the downfall of the company they love… https://t.co/fAARRwrAa4", 1
Wed Apr 25 19:28:04 +0000 2018,989224541191856128,"Now it’s time for your questions. Hear what former FBI Director James Comey has to say in a live town hall tonight,… https://t.co/UyYHtJE8k7", 1
Wed Apr 25 19:18:22 +0000 2018,989222102761988096,"We're in Sacramento, California, where authorities are expected to announce the arrest of a suspect in the decades-… https://t.co/OhmGMu1HYa", 1
Wed Apr 25 19:11:49 +0000 2018,989220453720961024,"""Dr. (Ronny) Jackson's record as a White House physician has been impeccable,"" WH press secretary Sarah Sanders sai… https://t.co/6j4zpDaXyg", 1
Wed Apr 25 19:07:03 +0000 2018,989219252606562304,Hospitals may soon have to post prices for patients online https://t.co/Un6qsULG9z https://t.co/Yfeoqnbo9p, 1
Wed Apr 25 18:58:49 +0000 2018,989217181266317312,"CNN's Jim Acosta: Are you trying to say that this administration is a champion of free press?
Press secretary Sarah… https://t.co/U9GC0gNpmo", 1
Wed Apr 25 18:50:07 +0000 2018,989214991956967430,"In a week of awful news, these three heroes stepped up https://t.co/z1ajdn7AiA https://t.co/AZpNhfwTVa", 1
Wed Apr 25 18:40:17 +0000 2018,989212516365488128,"Trump's VA Secretary nominee Ronny Jackson ""has undergone four separate background checks,"" says White House press… https://t.co/TBOMDY3DEe", 1
Wed Apr 25 18:40:05 +0000 2018,989212466814087168,How Trump's travel ban motivated some Muslim Americans to run for office https://t.co/MQ8kNNSmPH https://t.co/W605c8bodq, 1
Wed Apr 25 18:30:20 +0000 2018,989210014316417026,The Nashville-area Waffle House where a gunman killed four people over the weekend reopened its doors this morning… https://t.co/T1rDCVpNV1, 1
Wed Apr 25 18:26:43 +0000 2018,989209102868824064,"Sarah Sanders addresses questions about the vetting process for Trump's VA pick, Ronny Jackson… https://t.co/94JAJiQOQ0", 1
Wed Apr 25 18:22:32 +0000 2018,989208050383970304,"White House press secretary Sarah Sanders is holding a briefing.

Watch on CNN: https://t.co/Q7yGNtMtjy

Follow liv… https://t.co/zXDH4AA7RN", 1
Wed Apr 25 18:20:06 +0000 2018,989207437495406593,A man was threatening to jump off an overpass so these truckers parked underneath to break his fall… https://t.co/tvVl84HjQI, 1
Wed Apr 25 18:10:04 +0000 2018,989204913661104128,You can now set your Gmail messages to expire or protect them with a passcode https://t.co/CrTuDpdZt5, 1
Wed Apr 25 18:00:07 +0000 2018,989202410215280641,The FDA is re-examining the safety of a medication that was approved despite concerns that not enough was known abo… https://t.co/UQ6SWsAktP, 1
Wed Apr 25 17:50:05 +0000 2018,989199884195696640,Just how big is the Democratic wave going to be this fall? | Analysis by @CillizzaCNN https://t.co/AgH7lzL5uS https://t.co/weJkHyvq1c, 1
Wed Apr 25 17:40:08 +0000 2018,989197380292677634,"Former President George H.W. Bush is doing much better, a source close to the Bush family says, days after the 41st… https://t.co/DxYG0mpzpb", 1
Wed Apr 25 17:30:06 +0000 2018,989194855778791425,The Supreme Court has released audio of oral arguments in the challenge of the Trump administration's travel ban:… https://t.co/2D1HoTS0pF, 1
Wed Apr 25 17:21:06 +0000 2018,989192589864816641,"Hank Azaria says his ""eyes have been opened"" and he's willing to ""step aside"" from playing his controversial ""Simps… https://t.co/FScHNbqHI4", 1
Wed Apr 25 17:14:32 +0000 2018,989190937082585090,A person believed to be the so-called Golden State Killer wanted in a series of homicides and rapes going back deca… https://t.co/s0nXrAXjGW, 1
Wed Apr 25 17:00:07 +0000 2018,989187308443324417,Nickelodeon is bringing back 'Double Dare' https://t.co/DVCe7PWEBC https://t.co/c4K4nemQ6t, 1
Wed Apr 25 16:58:10 +0000 2018,989186820104708096,"After a series of high-profile clashes with President Trump, former FBI Director James Comey will answer questions… https://t.co/VgBSKcSQkl", 1
Wed Apr 25 16:50:06 +0000 2018,989184787142373376,"Dallas police officer Rogelio Santander died this morning, a day after he was shot at a Home Depot, according to po… https://t.co/cN2xVuVy3N", 1
Wed Apr 25 16:50:00 +0000 2018,989184764195160065,Amazon has launched a new service in 37 US cities that delivers packages to the trunk of your car… https://t.co/sjyJyc2rMg, 1
Wed Apr 25 16:40:00 +0000 2018,989182246711017472,"A new study suggests the atmosphere on the planet Uranus is composed of hydrogen sulfide, the same molecule that ma… https://t.co/tJhwuXdzDi", 1
Wed Apr 25 16:30:15 +0000 2018,989179791516585985,"In a week of awful news, these three heroes stepped up https://t.co/IRmO4czPGd https://t.co/AnmqqmL8bA", 1
Wed Apr 25 16:20:07 +0000 2018,989177242218631173,The Nashville-area Waffle House where a gunman killed four people over the weekend reopened its doors this morning… https://t.co/97wOaXpdfK, 1
Wed Apr 25 16:10:03 +0000 2018,989174711518154753,"""My parents came here in search of the American dream... I got into public service to protect that"": More than 90 M… https://t.co/IIf8anSwm0", 1
Wed Apr 25 16:00:12 +0000 2018,989172229727547392,The next wave of teacher walkouts and demonstrations is about to begin. Here's where dissatisfied teachers are taki… https://t.co/lYYGerHvx7, 1
Wed Apr 25 15:50:04 +0000 2018,989169679846518785,"More than 150 severe bleeding cases, four fatal, have been tied to synthetic cannabinoids use.

Synthetic cannabino… https://t.co/1OHsldQWH7", 1
Wed Apr 25 15:39:12 +0000 2018,989166947140096001,"French President Emmanuel Macron, addressing a joint session of Congress: “We have to work together… let us work to… https://t.co/Gkwlm6sJPi", 1
Wed Apr 25 15:30:13 +0000 2018,989164686150168576,Mark Zuckerberg survived 10 hours of grilling by nearly 100 members of Congress. Now he must face Wall Street… https://t.co/QY0y1Cu1Hj, 1
Wed Apr 25 15:20:11 +0000 2018,989162159451058176,"Five national news organizations, including CNN, are asking a federal court to unseal records from the criminal cas… https://t.co/V7dW7EiLNg", 1
Wed Apr 25 15:11:13 +0000 2018,989159904068997121,"Disney World is hiring 3,500 people ahead of its busy summer season https://t.co/Aru3Hv0XJ9 https://t.co/5bLnWiAfHb", 1
Wed Apr 25 15:10:03 +0000 2018,989159609192603648,Mick Mulvaney just said the swampiest thing ever | Analysis by @CillizzaCNN https://t.co/JqvghB9kU7 https://t.co/7Uf3jCdvVp, 1
Wed Apr 25 15:00:14 +0000 2018,989157138911121409,"Despite all the kisses and handshakes, the Trump-Macron bromance isn't impressing the French https://t.co/QSVdjd0fvh https://t.co/ZalbjmxfuD", 1
Wed Apr 25 14:56:48 +0000 2018,989156274280566784,French President Emmanuel Macron is addressing a joint meeting of Congress following two days of talks with Preside… https://t.co/fKefejqUR2, 1
Wed Apr 25 14:50:07 +0000 2018,989154595753660419,It's a great time to jump into the job market. New hires are getting paid 5% more than they were a year ago… https://t.co/jG3kjIWu7K, 1
Wed Apr 25 14:40:06 +0000 2018,989152073919889408,"""My parents came here in search of the American dream... I got into public service to protect that"": More than 90 M… https://t.co/KzzWF7EqrH", 1
Wed Apr 25 14:30:05 +0000 2018,989149554548396032,Hospitals may soon have to post prices for patients online https://t.co/sT4iOlyYsm https://t.co/yy1IFXxN0K, 1
Wed Apr 25 14:20:09 +0000 2018,989147051240935425,The Supreme Court is poised to hear arguments on the legality of a third version of Trump's original travel ban and… https://t.co/VBTbSEmZP3, 1
Wed Apr 25 14:10:06 +0000 2018,989144525095538689,"Under 16? Sorry, you're now banned from WhatsApp in Europe https://t.co/H99Dun4jqw https://t.co/t6sQ2PzMZE", 1
Wed Apr 25 14:03:58 +0000 2018,989142981193199617,A man was threatening to jump off an overpass so these truckers parked underneath to break his fall… https://t.co/5GAJdLjMUk, 1
Wed Apr 25 13:53:40 +0000 2018,989140387506868225,An Indian court has sentenced self-proclaimed Indian spiritual guru Asaram Bapu to life imprisonment for raping a 1… https://t.co/rXttfrFU6t, 1
Wed Apr 25 13:43:11 +0000 2018,989137750065545216,"For one moment, Trump sounded like he just wanted to walk away from it all | Analysis by @zbyronwolf … https://t.co/nl48So3fCT", 1
Wed Apr 25 13:39:36 +0000 2018,989136847396855808,"RT @CNNnewsroom: Sen. John Tester on VA nominee Ronny Jackson: ""The reports that we have heard is that he treated the people above him very…", 1
Wed Apr 25 13:30:04 +0000 2018,989134450712891393,Two Dallas police officers and a civilian shot at a Home Depot are fighting for their lives https://t.co/lWFekqNqZv, 1
Wed Apr 25 13:20:13 +0000 2018,989131969882611712,"In a week of awful news, these three heroes stepped up https://t.co/ZYZMbpWCUo https://t.co/PfGyPTvcc7", 1
Wed Apr 25 13:10:05 +0000 2018,989129420433747968,Get ready for the world's longest nonstop flight: Almost 20 hours https://t.co/SfRnTYNfO4 https://t.co/3O6pGeH8Fe, 1
Wed Apr 25 13:00:15 +0000 2018,989126946364821504,Trump keeps saying the US has spent $7 trillion in the Middle East | Analysis by @zbyronwolf https://t.co/c05Q3Dl7Qy https://t.co/mLpCDB5vpb, 1
Wed Apr 25 12:50:06 +0000 2018,989124392385961984,Twitter posted its second consecutive profitable quarter — and it's adding users https://t.co/Nqbdt9nRmU https://t.co/UT3IekO1Ko, 1
Wed Apr 25 12:40:08 +0000 2018,989121884037009409,Melania Trump masters the moment https://t.co/gQz9CrgNRN https://t.co/IQJiKtLzZm, 1
Wed Apr 25 12:30:07 +0000 2018,989119363897847814,It all started with a phone call. CEO @JulieSweet tells @PoppyHarlowCNN why she took a risk and left her job as par… https://t.co/BfoIjRj9OV, 1
Wed Apr 25 12:20:00 +0000 2018,989116816235614210,The big legal issue buried in the travel ban case https://t.co/DcCfTXQrt5 https://t.co/GnOcPkmXGn, 1
Wed Apr 25 12:10:07 +0000 2018,989114330246414344,"""My parents came here in search of the American dream... I got into public service to protect that"": More than 90 M… https://t.co/QyOxCCeVR8", 1
Wed Apr 25 12:00:05 +0000 2018,989111804570820608,Stocks are set to fall for the sixth straight day https://t.co/IsWMuuT9cu https://t.co/XovmWIixRR, 1
Wed Apr 25 11:50:15 +0000 2018,989109330648731649,Hospitals may soon have to post prices for patients online https://t.co/rZLKQdXNDQ https://t.co/SzeyzyRG4i, 1
Wed Apr 25 11:40:07 +0000 2018,989106777974329344,Why James Comey is not done with Donald Trump | Analysis by @StCollinson https://t.co/TwOWbOnqXu https://t.co/cwCxfgKTOI, 1
Wed Apr 25 11:34:28 +0000 2018,989105358147813376,The man accused of killing four people at a Nashville-area Waffle House erased his laptop's hard drive weeks before… https://t.co/IsuHT9qK8m, 1
Wed Apr 25 11:20:04 +0000 2018,989101731538722816,The Supreme Court is poised to hear arguments on the legality of a third version of Trump's original travel ban and… https://t.co/M5T3afGtOh, 1
Wed Apr 25 11:10:05 +0000 2018,989099222371794945,"Meet the new Gmail, now with disappearing messages https://t.co/f1E4mYXk0u https://t.co/eIoWWTNooq", 1
Wed Apr 25 11:03:59 +0000 2018,989097686401011717,"RT @NewDay: Trump's travel ban heads to the Supreme Court today. @LauraAJarrett says, ""The big question is: Do they hand Trump a victory th…", 1
Wed Apr 25 11:00:05 +0000 2018,989096704011128832,"5 things for Wednesday:

- White House
- Ronny Jackson
- Immigration
- Toronto van attack
- Yemen… https://t.co/HxVqNxi5Zu", 1
Wed Apr 25 10:50:03 +0000 2018,989094177446223872,A man was threatening to jump off an overpass so these truckers parked underneath to break his fall… https://t.co/W4hZcHcAuq, 1
Wed Apr 25 10:40:06 +0000 2018,989091674277244929,"During an overseas trip in 2015, Rear Adm. Ronny Jackson, the White House physician, was intoxicated and banged on… https://t.co/aWwsSkiEr8", 1
Wed Apr 25 10:31:31 +0000 2018,989089516265885696,An Indian court has sentenced self-proclaimed Indian spiritual guru Asaram Bapu to life imprisonment for raping a 1… https://t.co/IF9VMjWog0, 1
Wed Apr 25 10:17:04 +0000 2018,989085877677805569,"In a week of awful news, these three heroes stepped up https://t.co/ci4xWmAMXC https://t.co/iOZRwvm5x3", 1
Wed Apr 25 10:10:25 +0000 2018,989084205530406913,Toronto police are still trying to determine whether the van attack suspect's frustrations with women contributed t… https://t.co/5AA9W9chzj, 1
Wed Apr 25 10:00:06 +0000 2018,989081609495371782,Get ready for the world's longest nonstop flight: Almost 20 hours https://t.co/YIIVlBmQoz https://t.co/qfDQFAu1D3, 1
Wed Apr 25 09:49:04 +0000 2018,989078832605954051,Another federal judge has overruled the Trump administration's efforts to end the DACA program -- this time saying… https://t.co/70Tb8fld7H, 1
Wed Apr 25 09:42:06 +0000 2018,989077080385220608,"Shortly before he allegedly killed 10 pedestrians on Monday, the Toronto van attack suspect may have praised a mass… https://t.co/9SCiJFeeR6", 1
Wed Apr 25 09:35:03 +0000 2018,989075303854112769,MSNBC pushes findings that support Joy Reid's claim of fabricated homophobic blog posts https://t.co/qw34MHG0cs https://t.co/zGQS0geOKr, 1
Wed Apr 25 09:27:08 +0000 2018,989073312578973696,The hands did the talking during Macron's visit | GIF analysis by Brenna Williams https://t.co/LnUmXca7tG https://t.co/nsATZSvKhR, 1
Wed Apr 25 09:20:03 +0000 2018,989071529345454081,These mysterious Arctic ice holes have NASA scientists puzzled https://t.co/d8VOS8eJI5 https://t.co/qHD64X7chI, 1
Wed Apr 25 09:14:06 +0000 2018,989070030984884225,Philadelphia rapper Meek Mill has been released from prison https://t.co/x9hB07b0jU https://t.co/OKBfyCVDC7, 1
Wed Apr 25 09:07:04 +0000 2018,989068263203143681,"Nude butts, crime confessions and bullying: Facebook has clarified exactly what you're not allowed to post, and the… https://t.co/bCZ6Tfxg46", 1
Wed Apr 25 08:58:03 +0000 2018,989065994701361152,"Busloads of Central American migrants have arrived in the Mexican border city Tijuana, and more are coming.

But it… https://t.co/qVjwGZz9Qr", 1
Wed Apr 25 08:49:05 +0000 2018,989063736290959360,"Former FBI Director James Comey's book tour has stirred up some backlash, but one week after the book launch, ""A Hi… https://t.co/6QaUXxksqy", 1
Wed Apr 25 08:42:09 +0000 2018,989061992437764099,Democratic Sen. Jon Tester says embattled Veterans Affairs nominee Ronny Jackson was known for handing out prescrip… https://t.co/B6qCRObcxa, 1
Wed Apr 25 08:35:06 +0000 2018,989060216846213122,Canada shows the world the right way to face up to evil | By Andrew Cohen via @CNNOpinion https://t.co/22TbvHFis0 https://t.co/O4pSormuD4, 1
Wed Apr 25 08:27:03 +0000 2018,989058193962733568,The complete guest list for President Donald Trump's first state dinner https://t.co/HC0LyKdAwt https://t.co/CfTj6gAqZs, 1
Wed Apr 25 08:18:04 +0000 2018,989055932888952832,A young US serviceman injured in Afghanistan was the recipient of the world's first successful total penis and scro… https://t.co/TKIwgSCPcy, 1
Wed Apr 25 08:10:03 +0000 2018,989053913528782848,The story behind that viral photo of the past 4 presidents all in the same place https://t.co/2CX3B7ahNY https://t.co/pMzkEGnHkU, 1
Wed Apr 25 08:03:05 +0000 2018,989052162281037825,Trump keeps saying the US has spent $7 trillion in the Middle East | Analysis by CNN's Z. Byron Wolf… https://t.co/fDyUfnt4ef, 1
Wed Apr 25 07:57:02 +0000 2018,989050639949991940,"A judge has approved the release of actress Allison Mack on a $5 million bond, days after the former ""Smallville"" s… https://t.co/aYTx4SA1di", 1
Wed Apr 25 07:49:23 +0000 2018,989048714965737477,"US President Donald Trump on French President Emmanuel Macron: ""They're all saying what a great relationship we hav… https://t.co/SRlWyomFDE", 1
Wed Apr 25 07:42:04 +0000 2018,989046870893846529,Trump is trolling his political enemies with pardons | Analysis by @zbyronwolf https://t.co/cyFiii9LzZ https://t.co/B0jw4TZBiZ, 1
Wed Apr 25 07:36:04 +0000 2018,989045360311054337,Cheap wine is about to get a lot more expensive https://t.co/Zt0dLkzNHC https://t.co/CYmQyhbt7U, 1
Wed Apr 25 07:29:02 +0000 2018,989043590654496768,"""Shoot me in the head!"" the Toronto suspect yelled. The officer refused. https://t.co/LjxKUbROBf", 1
Wed Apr 25 07:22:05 +0000 2018,989041840925093890,Why NRA supporters are blowing up their expensive YETI coolers https://t.co/utbHZGJhjC https://t.co/ZjGGlzvgpx, 1
Wed Apr 25 07:14:02 +0000 2018,989039815210536960,Melania Trump masters the moment https://t.co/Ul4xsk4Rhq https://t.co/pQrJeHkh7e, 1
Wed Apr 25 07:06:04 +0000 2018,989037810094104576,"During an overseas trip in 2015, Rear Adm. Ronny Jackson, the White House physician, was intoxicated and banged on… https://t.co/IuCrReGT15", 1
Wed Apr 25 06:59:07 +0000 2018,989036062164115458,Student-run publications band together for a #SaveStudentNewsrooms campaign https://t.co/fEc3cITQB2 https://t.co/FDJf7105eY, 1
Wed Apr 25 06:52:04 +0000 2018,989034289324023808,A video animation detailing the Parkland shooter's path through the school was played during a meeting of the Marjo… https://t.co/h9gSI7QuM4, 1
Wed Apr 25 06:46:03 +0000 2018,989032772890226688,"A teen made a ""promposal"" that included a joke that ""if I was black I'd be picking cotton."" It immediately sparked… https://t.co/LNSLGSrsxx", 1
Wed Apr 25 06:39:06 +0000 2018,989031025962602496,"Medical marijuana could save many people addicted to opioids, @drsanjaygupta says. Read his open letter to Attorney… https://t.co/7HAbdcUW4I", 1
Wed Apr 25 06:31:08 +0000 2018,989029021009707008,Republicans are projected to win the special election in Arizona's 8th Congressional District -- but once again Dem… https://t.co/HyiYfBLud3, 1
Wed Apr 25 06:31:00 +0000 2018,989028986473730048,"The first statue of a woman in Britain's Parliament Square has been unveiled. 

It honors suffragist leader Millice… https://t.co/NoepjBkeOz", 1
Wed Apr 25 06:26:04 +0000 2018,989027743806443520,North Korea is dependent on China for trade and diplomatic support -- but now Beijing fears Pyongyang is moving out… https://t.co/PI9rzWGzwN, 1
Wed Apr 25 06:21:37 +0000 2018,989026626494230529,MSNBC pushes findings that support Joy Reid's claim of fabricated homophobic blog posts https://t.co/gEFix6CqVh https://t.co/32jZRcYLe7, 1
Wed Apr 25 06:18:05 +0000 2018,989025737368842240,"President Trump says he's sending some of his top economic advisers to China ""in a few days"" for talks on trade ten… https://t.co/h2JyMOGeWo", 1
